time,soc_ref,soc_cc_unclipped,soc_fgo
0.0,1.0,1.0,0.9999999999999999
16.781,0.9999962889279083,0.9999959178206991,0.9999999999999993
35.703,0.994298392800504,0.9937282320805544,0.9872833880905785
53.781,0.9888507216142652,0.9877357937756918,0.9770797866715412
71.922,0.9833917631224632,0.9817309394347096,0.9685517563904078
90.094,0.9779184105920619,0.975710251651268,0.9612085155478117
108.281,0.9724367493417782,0.9696804242759559,0.9547232254563953
126.453,0.9669672135785545,0.96366393493641,0.9488820049967419
144.641,0.9614754130226755,0.957622954324943,0.9435091034168228
162.844,0.955992374416895,0.9515916118585845,0.9385212687576396
181.016,0.9505185988805755,0.9455704587686331,0.933818217743258
199.219,0.9450358449469978,0.9395394294416975,0.9293150688891259
217.391,0.9395605785965152,0.9335166364561667,0.9249931122945273
235.594,0.9340747744583479,0.9274822519041827,0.9207811620805332
253.75,0.9286049986288567,0.9214654984917423,0.916683278123717
271.984,0.9231139562188789,0.9154253518407668,0.9126259992934331
290.141,0.917644027682988,0.9094084304512868,0.9086474433695155
308.359,0.9121564415409875,0.9033720856950862,0.9046870029121763
326.5,0.9066950463901461,0.8973645510291607,0.9007730634176002
344.75,0.9011942229361661,0.8913136452297827,0.8968164503480642
362.906,0.8957253271587524,0.8852978598746276,0.8928774714176956
381.047,0.8902715725200037,0.8792987297720041,0.8889347610469628
399.187,0.8848033539275594,0.8732836893203153,0.8849369720195275
417.281,0.8793529216228699,0.867288213785157,0.8808962103849057
435.484,0.8738742967540127,0.861261726429414,0.8767548729807473
453.672,0.8683983140138787,0.8552381454152665,0.872542808661116
471.812,0.8629323016245528,0.8492255317870081,0.8682669544689993
490.203,0.8573953951963841,0.8431349347160224,0.8638238042910967
508.344,0.8519376360821034,0.8371313996903137,0.8593837315204281
526.625,0.8464339711681805,0.8310773682849986,0.8548158906812342
544.922,0.8409249201881982,0.825017412207018,0.8501525704230823
563.125,0.8354409794477571,0.8189850773925328,0.8454331357463496
581.406,0.8299332063182767,0.8129265269501044,0.8406147519947849
599.656,0.8244367961528237,0.8068804757681061,0.8357246043820125
617.875,0.8189508693975457,0.8008459563373003,0.830770735809883
636.047,0.8134790149710224,0.7948269164681245,0.8257628464986084
654.422,0.8079434797066113,0.7887378276772724,0.8206093237752408
672.594,0.8024711543317667,0.7827182697649434,0.8154513964416338
690.812,0.7969771354969445,0.7766748490466389,0.810198703927569
708.937,0.7915224871057724,0.7706747358163497,0.8049190390718197
727.266,0.7860076815142307,0.7646084496656538,0.7994930732233599
745.578,0.7804921901614579,0.7585414091776037,0.793979726168625
763.797,0.7750108113289029,0.7525118924617932,0.7884292110202853
782.109,0.769493387936701,0.746442726730371,0.7827515118619062
800.484,0.7639640122569472,0.7403604134826419,0.7769932969928162
818.797,0.7584504722128816,0.7342955194341698,0.7711754554557889
837.016,0.7529648462968066,0.7282613309264873,0.7653234015397307
855.25,0.7474755321391151,0.7222230853530266,0.7594090105935907
873.578,0.7419577329677598,0.7161535062645358,0.7534047376306161
891.812,0.7364719690937327,0.7101191660031059,0.7473830857506021
910.141,0.7309504030625369,0.7040454433687906,0.7412810757329639
928.391,0.7254589526509627,0.698004847916059,0.735173997062994
946.719,0.7199394989766429,0.6919334488743072,0.7290019057725642
965.047,0.7144234525220887,0.6858657977742976,0.7228047949479688
983.391,0.7088988873769212,0.6797887761146133,0.7165770993668603
1001.766,0.7033683438886489,0.6737051782775137,0.7103231320239333
1020.172,0.6978254570782041,0.6676080027860245,0.7040440867559864
1038.594,0.6922743279459775,0.6615017607405753,0.697739355699906
1056.922,0.6867602709632216,0.6554362980595436,0.6914692886111321
1075.203,0.6812567824543267,0.6493824606997594,0.6852097689422875
1093.687,0.6756999447265039,0.6432699391991542,0.6788963076025644
1112.0,0.6701821965222639,0.6372004161744902,0.6726244506581014
1130.328,0.6646623769879527,0.631128614686748,0.6663526868467969
1148.75,0.6591108143596746,0.6250218957956419,0.6600573388296281
1167.125,0.6535816329827033,0.6189397962809736,0.6537994480456321
1185.641,0.6480105246574952,0.6128115771232447,0.6475115796507697
1203.984,0.6424873215461707,0.6067360537007878,0.6412849468550282
1222.406,0.6369380377696949,0.6006318415466644,0.6350476894255964
1240.797,0.6313954561454537,0.5945350017599991,0.6288409644754196
1259.156,0.6258667960187579,0.5884534756206337,0.6226683997881638
1277.547,0.6203296725877956,0.5823626398465751,0.6165107546780536
1295.906,0.6148039913811316,0.5762843905192447,0.6103889052292573
1314.297,0.6092617664979936,0.570187943147793,0.6042756400628343
1332.687,0.6037257996963594,0.5640983796659953,0.5981914545778586
