time,soc_fgo
0.0,0.9999999999999999
16.781,0.9999999999997353
35.703,0.9872896873743406
53.781,0.9770826711572069
71.922,0.9685528891172601
90.094,0.9612089946839835
108.281,0.9547236095686571
126.453,0.9488817916720983
144.641,0.9435093533156813
162.844,0.9385216006560801
181.016,0.9338182384501234
199.219,0.9293152313917277
217.391,0.9249930720380772
235.594,0.9207814390266861
253.75,0.9166831155869266
271.984,0.9126264359029153
290.141,0.9086474859514406
308.359,0.9046875400952187
326.5,0.9007728541234383
344.75,0.8968174407940245
362.906,0.8928781777955603
381.047,0.8889345022102363
399.187,0.8849364449139961
417.281,0.8808944752418657
435.484,0.8767531824364868
453.672,0.8725408862387883
471.812,0.8682641467058019
490.203,0.8638234426138072
508.344,0.8593818328149612
526.625,0.8548146220263562
544.922,0.8501521206252849
563.125,0.8454322225167556
581.406,0.8406145155005078
599.656,0.8357244641326337
617.875,0.8307701608222327
636.047,0.8257611061249838
654.422,0.8206095245552972
672.594,0.8154503865730771
690.812,0.8101975280481131
708.937,0.804915684523782
727.266,0.7994904283992195
745.578,0.7939777362167966
763.797,0.7884261065670783
782.109,0.7827490006543365
800.484,0.7769919036383097
818.797,0.7711743496521101
837.016,0.7653211583147954
855.25,0.7594057572617211
873.578,0.7534018188526459
891.812,0.7473788309681944
910.141,0.7412771780626025
928.391,0.7351688647604907
946.719,0.7289968291615302
965.047,0.7227994979919422
983.391,0.7165719004750053
1001.766,0.7103182270282536
1020.172,0.7040399975492553
1038.594,0.6977364165178277
1056.922,0.6914655907768049
1075.203,0.6852047157624163
1093.687,0.6788924744442969
1112.0,0.6726198140226758
1130.328,0.6663472676321357
1148.75,0.6600526283756476
1167.125,0.6537942446283908
1185.641,0.647507888885543
1203.984,0.6412803094929115
1222.406,0.6350433294619243
1240.797,0.6288364718506987
1259.156,0.622663001477501
1277.547,0.6165047816697301
1295.906,0.6103816837217986
1314.297,0.6042678746254172
1332.687,0.5981827008233723
1351.203,0.5920754858254641
1369.687,0.5860192326597297
1388.125,0.5800057322648194
1406.578,0.574007969760254
1425.062,0.5680186711313064
1443.609,0.5620449544629207
1462.047,0.5561351062149337
1480.547,0.5502335515825881
1499.031,0.5443735542378613
1517.672,0.5384805573485281
1536.109,0.5326966298370968
1554.781,0.5268548841193705
1573.281,0.5210952945676657
1591.859,0.5153497495720345
1610.406,0.5096422142218615
1628.953,0.5039556750511446
1647.562,0.4982823212335323
1666.062,0.4926794773439138
1684.656,0.48707272612334596
1703.219,0.48150351076539916
1721.891,0.4759278067152016
1740.437,0.4704267140475932
1759.016,0.464961818404272
1777.641,0.45950682709745827
1796.328,0.45405915305858524
1815.047,0.44864151755124365
1833.75,0.44325687279410564
1852.391,0.43792892249488435
1871.078,0.4326201026834629
1889.844,0.42732362711148425
1908.578,0.42205818816574375
1927.281,0.41683398479296563
1946.031,0.4116256958801342
1964.891,0.4064112203060513
1983.703,0.40124136624295176
2002.484,0.39610351358353313
2021.187,0.3909981756612584
2039.906,0.38590964757574053
2058.641,0.38082268047887735
2077.406,0.37574389623592386
2096.312,0.37062710439558993
2115.047,0.3655759410416935
2133.969,0.36047336416062764
2152.812,0.35539340589783913
2171.625,0.3503260534675833
2190.547,0.34522270407746813
2209.422,0.34012429587678983
2228.297,0.335022426527187
2247.219,0.32989195894483103
2265.969,0.32480694802739596
2284.937,0.31964623153653116
2303.859,0.3144926875201027
2322.797,0.3093147995157367
2341.766,0.3041197521042789
2360.594,0.29895722255878904
2379.578,0.2937399432450274
2398.672,0.2884684840668344
2417.797,0.2831652755456075
2436.906,0.27785453845122937
2455.969,0.2725594952866262
2474.984,0.26726387743291663
2494.031,0.26196515536216897
2513.187,0.25660315970316966
2532.391,0.25122643733861516
2551.547,0.24586404936416797
2570.578,0.24053781443980432
2589.703,0.2351687938494122
2608.797,0.22982012080368494
2627.953,0.2244453145052998
2647.234,0.21903372185696499
2666.516,0.21361714291734368
2685.812,0.2082008334866029
2704.969,0.2028222341474038
2724.203,0.1974155926697038
2743.453,0.19197905423171
2762.625,0.18654809305124218
2781.922,0.1810373554702867
2801.25,0.17547801271771518
2820.625,0.16986645391061544
2839.937,0.1642333819936773
2859.234,0.15852651654478728
2878.578,0.1527110124082426
2897.937,0.14677770286777989
2917.281,0.14071016014537596
2936.687,0.13445138320865857
2956.078,0.12800674105053725
2975.453,0.12136094215829023
2994.969,0.11439544167883763
3014.453,0.10715131327834818
3033.891,0.09959466307262788
3053.375,0.09167021296323873
3072.859,0.08333986553002118
3092.328,0.0746345788371187
3111.828,0.0655020331421036
3131.234,0.05598311466921794
3150.672,0.04608392680980873
3170.187,0.03582881370449443
3189.734,0.025400643946439375
3209.297,0.01515836362447223
3229.016,0.005946104773165577
3248.625,1.3501410900933255e-15
3268.328,6.602046537787583e-20
3287.969,6.602043517383698e-20
3307.625,6.602041650347767e-20
3327.234,6.602041238857735e-20
3346.937,6.602041451637249e-20
3366.781,6.602044141842601e-20
3386.641,1.0470261844950256e-15
3406.656,0.0057462845635724395
3426.625,0.013295322808686649
3446.875,0.020739711900234076
3466.984,0.027486555112489566
3487.078,0.03350993451191304
3507.328,0.03885869295174541
3527.562,0.04360111143579916
3547.781,0.04785334203049202
3568.062,0.05162556851471398
3588.328,0.054967054494342964
3608.594,0.057918373340710365
3628.953,0.06046840041465404
3649.375,0.06258189621655394
3669.875,0.06416444839271133
3690.234,0.06506579563158417
